"","year","Tree.Num","lfstate0first","lfstate1first","lfstate2first","lfstate3first","lfstate0last","lfstate1last","lfstate2last","lfstate3last","catstate0first","catstate1first","catstate2first","catstate3first","catstate4first","flstate0first","flstate1first","flstate2first","flmaxstate","AcornDate","Count1","Count2","MnAcorns","lat","long","1","2","3","4","5","6","7","8","9","10","11","12"
"101",2009,19,"1/20/09","3/25/09","3/31/09","4/9/09","3/17/09","4/14/09","4/22/09","6/9/09","1/20/09","3/25/09","4/14/09","3/31/09","4/9/09","1/20/09",NA,"3/31/09",2,"9/29/09",8,2,5,34.70752,-120.04054,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"102",2009,20,"1/20/09","3/17/09","3/25/09","4/9/09","3/10/09","4/14/09","4/22/09","6/9/09","1/20/09","3/17/09","3/25/09","4/14/09","3/31/09","1/20/09","3/25/09","4/9/09",2,"9/29/09",0,11,5.5,34.7073,-120.04025,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"103",2009,21,"1/20/09","3/31/09","3/31/09","4/22/09","3/25/09","4/22/09","4/28/09","6/9/09","1/20/09","3/31/09","3/31/09","4/9/09","4/14/09","1/20/09","4/9/09","4/22/09",2,"9/29/09",6,6,6,34.70589,-120.04051,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"104",2009,22,"1/20/09","3/17/09","3/25/09","4/9/09","3/17/09","4/14/09","4/22/09","6/9/09","1/20/09","3/17/09","3/25/09","3/31/09","4/9/09","1/20/09","3/31/09","4/9/09",2,"9/29/09",16,10,13,34.7056,-120.04067,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"105",2009,24,"1/20/09","3/10/09","3/17/09","3/31/09","3/3/09","3/25/09","4/14/09","6/9/09","1/20/09","3/10/09","3/10/09",NA,"3/25/09","1/20/09",NA,NA,0,"9/29/09",0,0,0,34.7056,-120.04034,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"106",2009,25,"1/20/09","3/25/09","3/31/09","4/9/09","3/17/09","4/14/09","4/22/09","6/9/09","1/20/09","3/25/09","3/31/09","4/14/09","4/9/09","1/20/09","3/31/09","4/9/09",2,"9/29/09",0,1,0.5,34.70545,-120.04027,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"107",2009,26,"1/20/09","3/17/09","3/25/09","4/9/09","3/17/09","4/14/09","4/22/09","6/9/09","1/20/09","3/10/09","3/17/09","4/14/09","3/31/09","1/20/09","4/9/09","4/22/09",2,"9/29/09",0,0,0,34.70501,-120.04072,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"108",2009,27,"1/20/09","3/25/09","3/25/09","4/9/09","3/17/09","4/14/09","4/22/09","6/9/09","1/20/09","3/25/09","3/25/09","4/9/09","4/14/09","1/20/09",NA,"4/9/09",2,"9/29/09",22,7,14.5,34.70496,-120.04091,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"109",2009,30,"1/20/09","3/25/09","3/31/09","4/22/09","3/25/09","4/22/09","4/28/09","6/9/09","1/20/09","3/31/09","3/31/09",NA,"4/14/09","1/20/09",NA,"4/14/09",2,"9/29/09",15,6,10.5,34.7039,-120.04117,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"110",2009,31,"1/20/09","3/31/09","3/31/09","4/22/09","3/25/09","4/22/09","4/28/09","6/9/09","1/20/09","3/31/09","3/31/09","3/31/09","4/14/09","1/20/09","4/14/09",NA,1,"9/29/09",0,1,0.5,34.70381,-120.04101,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
